update,frames,FPS,duration,true_return_mean,true_return_std,true_return_min,true_return_max,agent_return_mean,agent_return_std,agent_return_min,agent_return_max,agent_sparse_return_mean,agent_sparse_return_std,agent_sparse_return_min,agent_sparse_return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
20,1280000,449.4577291286897,2732,0.0,0.0,0.0,0.0,0.6717356331646442,0.06770947352093254,0.5829726457595825,0.9589667320251465,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6692341715097427,0.01104015822056681,-0.0010322529342374764,0.0002798279201670084,0.06558867172429436
21,1344000,438.6110618510431,2878,0.0,0.0,0.0,0.0,0.6801366172730923,0.1587634274451109,0.5089385509490967,1.4521182775497437,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6670731976628304,0.01075619652374371,-0.0009372076401632512,0.0014170115173328668,0.05237046358570628
22,1408000,437.5009024097804,3024,0.0,0.0,0.0,0.0,0.7042974326759577,0.32815769873553874,0.003081977367401123,2.3357203006744385,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6682669669389725,0.01961499941535294,0.005985745461657643,0.0009471547527937219,0.027873892046007785
23,1472000,463.1712843546819,3162,0.0,0.0,0.0,0.0,0.7049822099506855,0.34283979913850215,0.5280065536499023,2.5347869396209717,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.66837028414011,0.014339242479763925,0.00039148937685240526,0.0022376123815774918,0.043422181171810695
24,1536000,461.3419049740855,3301,0.0,0.0,0.0,0.0,0.7694284915924072,0.4636564156271385,0.5583616495132446,2.5848476886749268,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6708892062306404,0.015111526241526008,-0.0024087476049317047,0.0010440274054417387,0.03396024450647115
25,1600000,465.81456431162457,3438,0.0,0.0,0.0,0.0,0.7966120727360249,0.49479495952035885,0.5702379941940308,2.7360804080963135,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6698303818702698,0.012546950951218605,-0.006639231578446925,0.0022422072797780856,0.03652165992778351
26,1664000,464.86485814377727,3576,0.0,0.0,0.0,0.0,0.8291907347738743,0.49240463254294015,0.5791237354278564,2.71073842048645,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6661801561713219,0.008234968772740103,-0.012648384785279632,0.006216197565663606,0.07583478583703522
27,1728000,519.3732902536427,3699,0.0,0.0,0.0,0.0,0.7873841412365437,0.3837154627813884,0.5829654932022095,2.132690668106079,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6669149771332741,0.019637376652099192,0.0019743049779208377,0.0024122441827785224,0.04386013883523816
28,1792000,516.0688277981784,3823,0.0,0.0,0.0,0.0,0.7660626918077469,0.41434564274814756,0.5484570264816284,2.4154322147369385,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6696548983454704,0.021925626788288355,0.004975635034497827,0.0017598805716261268,0.017798757925287192
29,1856000,488.5080547495626,3954,0.0,0.0,0.0,0.0,0.7903074212372303,0.41519566701500965,0.5660793781280518,2.469095468521118,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,2000.0,0.6692895740270615,0.015206853626295924,-0.0035951639292761683,0.003662655537482351,0.05226350920651157
