update,frames,FPS,duration,true_return_mean,true_return_std,true_return_min,true_return_max,agent_return_mean,agent_return_std,agent_return_min,agent_return_max,agent_sparse_return_mean,agent_sparse_return_std,agent_sparse_return_min,agent_sparse_return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
202,12928000,470.17864908675534,277,160.64484804868698,37.221544595626774,20.200040817260742,184.90208435058594,164.50714761018753,37.700137278019945,21.92124366760254,188.50025939941406,162.28556710481644,37.514634682284466,20.400041580200195,186.10215759277344,2000.0,0.0,2000.0,2000.0,0.42496226727962494,7.497660219669342,-0.4054725430905819,0.7741028741002083,20.398861982250878
203,12992000,498.2292276405669,405,145.0914341211319,51.60219583912112,0.0,178.8017120361328,150.18734869733453,52.23848355679488,1.5976325273513794,183.56556701660156,147.97284346818924,52.01656502039434,0.0,181.2018585205078,2000.0,0.0,2000.0,2000.0,0.43408745527267456,7.173046946525574,-0.04074607999064028,1.0502126589417458,47.614525504233114
204,13056000,485.4285162383922,537,147.42899423837662,47.12437605051571,20.400041580200195,185.5021209716797,151.09736162424088,47.69547023122564,22.986581802368164,188.86587524414062,149.03845363855362,47.53165533888697,21.200044631958008,186.50218200683594,2000.0,0.0,2000.0,2000.0,0.41671181842684746,7.069555938243866,-0.14646779000759125,0.8891203850507736,39.694797711127045
205,13120000,472.6011907924131,673,170.46399068832397,31.603154239397718,0.0,186.60218811035156,174.18333871290088,32.00185320006078,1.2555259466171265,189.36590576171875,171.9515814781189,31.83491327657223,0.0,187.00221252441406,2000.0,0.0,2000.0,2000.0,0.3966554291546345,8.196797728538513,-0.14869466237723827,1.27201546728611,23.606142201989957
206,13184000,468.6502341351188,809,162.52010464668274,38.88642786631962,43.499908447265625,186.8022003173828,166.18594884872437,39.216991736144884,46.16834259033203,189.6659393310547,163.94831037521362,39.14772299631095,44.09989929199219,187.30223083496094,2000.0,0.0,2000.0,2000.0,0.40024862065911293,7.992669582366943,0.01700241834623739,1.0445510149002075,12.020903578471529
207,13248000,495.0461407816808,938,170.22005462646484,20.037095476635454,96.5990982055664,186.3021697998047,174.1634876728058,20.22054224532879,100.08307647705078,189.46592712402344,171.8982756137848,20.104635277952976,98.09907531738281,187.1022186279297,2000.0,0.0,2000.0,2000.0,0.4030114784836769,8.392715454101562,0.033546908060088754,1.0845878198742867,7.314811630347931
208,13312000,462.10201169266645,1077,153.36056399345398,46.31822460262315,56.299713134765625,186.50218200683594,156.70726311206818,46.851394383909685,56.60898971557617,189.26589965820312,154.5325002670288,46.58295668511173,56.599708557128906,186.90220642089844,2000.0,0.0,2000.0,2000.0,0.3949251286685467,7.478124260902405,-0.004950022586854175,0.923060454428196,8.171507640689729
209,13376000,449.0450877170496,1219,170.8013792037964,20.992599186048256,79.59935760498047,186.3021697998047,174.64511466026306,21.263718339993233,82.73983001708984,189.3659210205078,172.40147304534912,21.129609002980974,80.7993392944336,187.00221252441406,2000.0,0.0,2000.0,2000.0,0.3826759159564972,8.366789817810059,-0.007946709229145199,1.104991540312767,8.30798108740788
210,13440000,462.11368583331,1358,129.02244927734137,57.962299340748565,3.899998426437378,183.2019805908203,134.82041455805302,59.60030709068751,6.121481418609619,188.36585998535156,132.7726288586855,59.30583766624701,4.399998188018799,186.0021514892578,2000.0,0.0,2000.0,2000.0,0.4039403200149536,6.536319196224213,0.1667089480906725,0.9408078342676163,31.830374846968397
211,13504000,455.5071212907186,1498,142.7757306098938,46.726765025584214,54.09974670410156,182.8019561767578,146.58524203300476,47.18815771281012,57.704437255859375,186.88526916503906,144.41330933570862,47.08333284640739,55.69972229003906,185.2021026611328,2000.0,0.0,2000.0,2000.0,0.43407604843378067,7.064451336860657,0.07441000826656818,0.8637441992759705,21.835088573782482
212,13568000,442.43394336964917,1643,137.8379549384117,45.610029798202724,19.40003776550293,186.10215759277344,141.4441527724266,46.06658350511604,21.810171127319336,189.26589965820312,139.39739674329758,45.90714542191715,19.800039291381836,186.90220642089844,2000.0,0.0,2000.0,2000.0,0.41073786839842796,6.745401978492737,0.022807301837019622,1.128273218870163,6.564228251801328
213,13632000,498.9402423910348,1771,128.36308163404465,55.09637968135395,31.00008201599121,178.7017059326172,131.78597712516785,55.83521332451211,34.3490104675293,182.5655059814453,129.68813943862915,55.537500409228066,32.40007781982422,180.20179748535156,2000.0,0.0,2000.0,2000.0,0.4256017133593559,6.405112445354462,0.14941968768835068,0.9374182820320129,15.560034979002351
214,13696000,481.2592841729637,1904,136.92265224456787,55.09222776774676,15.200021743774414,180.20179748535156,143.4872036576271,54.39231067971822,17.3568058013916,184.101806640625,141.29463213682175,54.243364060605714,15.800024032592773,182.0019073486328,2000.0,0.0,2000.0,2000.0,0.4335726164281368,6.742168664932251,-0.03976867161691189,1.1597077026963234,70.02280112469231
215,13760000,479.64770005517045,2038,107.6376902461052,57.06390367377594,10.900005340576172,180.4018096923828,110.82037338614464,57.82693338960534,13.55683422088623,183.46554565429688,108.70960336923599,57.66992239051841,11.500007629394531,181.1018524169922,2000.0,0.0,2000.0,2000.0,0.46383102238178253,5.468170583248138,0.3008824996650219,0.9094723910093307,8.365063158595532
216,13824000,515.6634007073199,2162,138.56307500600815,48.33573709785398,23.20005226135254,178.3016815185547,142.62012273073196,48.76672249186514,25.916244506835938,183.36553955078125,140.4412743449211,48.54510425099452,24.100055694580078,181.00184631347656,2000.0,0.0,2000.0,2000.0,0.4506974406540394,7.061281502246857,0.3399299792945385,1.0876912400126457,52.23791836334978
217,13888000,489.11799538020927,2293,132.75071930885315,57.27568525672901,12.300010681152344,178.7017059326172,136.3365329504013,57.89766106296639,15.08664321899414,183.26553344726562,134.1414092183113,57.70154538842462,13.500015258789062,180.90184020996094,2000.0,0.0,2000.0,2000.0,0.45841023698449135,6.463342607021332,-0.0618702033534646,1.0069214403629303,69.62413724036881
218,13952000,463.99500868158447,2431,120.77200895547867,50.15837256755255,19.600038528442383,179.00172424316406,124.09941172599792,50.9283742677431,20.82665252685547,182.66551208496094,122.00330764055252,50.787851574531004,18.80003547668457,180.3018035888672,2000.0,0.0,2000.0,2000.0,0.4669307470321655,5.882094621658325,-0.02174912902410142,1.0253983959555626,74.79128227496008
