update,frames,FPS,duration,true_return_mean,true_return_std,true_return_min,true_return_max,agent_return_mean,agent_return_std,agent_return_min,agent_return_max,agent_sparse_return_mean,agent_sparse_return_std,agent_sparse_return_min,agent_sparse_return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm
51,816000,1023.2801938333783,823,1.1375,1.4641016870422627,0.0,9.0,1.5896553918719292,1.399260074603475,-0.10332900285720825,9.077485084533691,1.1375,1.4641016870422627,0.0,9.0,100.0,0.0,100.0,100.0,0.9753952175378799,0.34898630529642105,-0.007717046537436545,0.032374599017202854,0.5196389331885632
52,832000,981.7613995897394,839,1.1125,1.3133330689509042,0.0,6.0,1.559707733988762,1.258864087732369,-0.09559935331344604,5.964184284210205,1.1125,1.3133330689509042,0.0,6.0,100.0,0.0,100.0,100.0,0.9649700075387955,0.3424348756670952,-0.00577145055285655,0.02986150048673153,0.42288052982680646
53,848000,925.3852713953703,856,1.3125,1.3882880644880586,0.0,6.0,1.7744878198951484,1.3494526425102307,-0.1989709734916687,6.348317623138428,1.3125,1.3882880644880586,0.0,6.0,100.0,0.0,100.0,100.0,0.9378373324871063,0.38608624786138535,-0.015544330002740026,0.03445591405034065,0.422084037659375
54,864000,992.755028971452,873,1.29375,1.3811085900464162,0.0,5.0,1.7536200292408466,1.3302626438661465,-0.028650522232055664,5.70687198638916,1.29375,1.3811085900464162,0.0,5.0,100.0,0.0,100.0,100.0,0.9401564300060272,0.4164556488394737,0.005989139957819134,0.03507815394550562,0.3179513425280984
55,880000,983.325658984772,889,1.56875,1.5476670951790632,0.0,6.0,2.0248882710933684,1.5066457402999993,-0.05381882190704346,6.754128456115723,1.56875,1.5476670951790632,0.0,6.0,100.0,0.0,100.0,100.0,0.9204083383083344,0.45234444737434387,-0.012837071088142693,0.04253843519836664,0.5831713025725094
56,896000,985.5959853386187,905,1.775,1.6467771555374455,0.0,8.0,2.231982322409749,1.5671179877494879,0.0,8.638200759887695,1.775,1.6467771555374455,0.0,8.0,100.0,0.0,100.0,100.0,0.9062811434268951,0.4962139278650284,-0.028860684018582106,0.048433457501232624,0.5606635661396158
57,912000,1028.069074052712,921,1.4375,1.3401842224112326,0.0,5.0,1.8925663415342568,1.282453870825246,0.045981764793395996,5.074221134185791,1.4375,1.3401842224112326,0.0,5.0,100.0,0.0,100.0,100.0,0.904634565114975,0.4358706399798393,-0.0028048941676388495,0.037785171531140804,0.5888404502591866
58,928000,986.7927226135313,937,1.93125,1.6245071367956496,0.0,9.0,2.328237233310938,1.576703426213468,-0.11977231502532959,9.218847274780273,1.93125,1.6245071367956496,0.0,9.0,100.0,0.0,100.0,100.0,0.874267578125,0.5200107395648956,-0.022700584027916193,0.04623362421989441,0.6512830552481109
59,944000,1045.1380184881832,952,1.94375,1.7038444581299081,0.0,7.0,2.3556273095309734,1.629868452619358,-0.0004315376281738281,7.627943515777588,1.94375,1.7038444581299081,0.0,7.0,100.0,0.0,100.0,100.0,0.8623968809843063,0.5436743050813675,-0.016994496807456017,0.04684946034103632,0.5125789947527802
60,960000,1016.13116990081,968,1.89375,1.7197269950489236,0.0,9.0,2.3323575910180807,1.6847701061267066,-0.03280448913574219,8.961756706237793,1.89375,1.7197269950489236,0.0,9.0,100.0,0.0,100.0,100.0,0.8580314666032791,0.5669964998960495,0.0056804458145052195,0.05013785231858492,0.5771276401036703
61,976000,1041.1209719428275,983,1.66875,1.687164318464565,0.0,10.0,2.0993835780769587,1.6319886376146693,0.033455610275268555,10.24439811706543,1.66875,1.687164318464565,0.0,10.0,100.0,0.0,100.0,100.0,0.874675914645195,0.4926580637693405,-0.0013555550249293447,0.046598426066339016,0.579343750891811
62,992000,1074.6268867038893,998,1.8375,1.4827655748634037,0.0,7.0,2.2524909280240535,1.4274693515375019,0.07498025894165039,7.02901554107666,1.8375,1.4827655748634037,0.0,7.0,100.0,0.0,100.0,100.0,0.8475663959980011,0.5238957554101944,-0.00927806505933404,0.04971396550536156,0.6057893460842834
63,1008000,421.4198096648539,1036,1.7375,1.6335831016510916,0.0,8.0,2.2102285541594027,1.538085311355585,0.036221861839294434,8.049742698669434,1.7375,1.6335831016510916,0.0,8.0,100.0,0.0,100.0,100.0,0.8431038856506348,0.5114307701587677,-0.006084053602535278,0.045229461044073105,0.3597016721107221
64,1024000,365.9093494431118,1080,2.025,1.7282577932704368,0.0,10.0,2.4065493017435076,1.6948102806700023,-0.11594808101654053,10.083252906799316,2.025,1.7282577932704368,0.0,10.0,100.0,0.0,100.0,100.0,0.8321394175291061,0.5704532861709595,-0.002287060449816636,0.05335908569395542,0.4081722669658695
65,1040000,519.8123990004685,1111,2.1125,1.673273363799233,0.0,9.0,2.4860253620892765,1.6208034952908488,-0.009115397930145264,9.298367500305176,2.1125,1.673273363799233,0.0,9.0,100.0,0.0,100.0,100.0,0.8283042311668396,0.560373455286026,-0.020223194267600775,0.05334083829075098,0.4302848359200011
66,1056000,727.5837422840233,1133,2.325,1.7231874535290697,0.0,7.0,2.75855260938406,1.6949740787618024,-0.09753173589706421,7.311569690704346,2.325,1.7231874535290697,0.0,7.0,100.0,0.0,100.0,100.0,0.8072206676006317,0.6441463977098465,-0.01764608360826969,0.06000628229230642,0.5907871618840692
67,1072000,1030.5048891459096,1148,2.31875,1.8178692025280587,0.0,9.0,2.72019817084074,1.7552078446556294,-0.025735974311828613,9.15018081665039,2.31875,1.8178692025280587,0.0,9.0,100.0,0.0,100.0,100.0,0.8007814884185791,0.6486680656671524,-0.011247168411500752,0.06230312678962946,0.7746435143613019
68,1088000,1017.7538494487726,1164,2.4,1.6477257053284082,0.0,6.0,2.7979277435690166,1.588948512078924,0.06704050302505493,6.109945774078369,2.4,1.6477257053284082,0.0,6.0,100.0,0.0,100.0,100.0,0.7759728580713272,0.6769486963748932,-0.009364324971102178,0.05747619364410639,0.4999875383264497
69,1104000,977.0411676007024,1180,2.1875,1.7036266463048764,0.0,9.0,2.6057553716003894,1.6515121386644342,-0.05655336380004883,8.916338920593262,2.1875,1.7036266463048764,0.0,9.0,100.0,0.0,100.0,100.0,0.7888320237398148,0.633491724729538,0.005134793522302061,0.05991651490330696,0.6271007508539137
